first_5_runs_allowed,pitcher_id,pitcher_name,pitcher_era,pitcher_whip,pitcher_k9,pitcher_bb9,pitcher_kbb,pitcher_gbfb,pitcher_ip,pitcher_k_pct,pitcher_hr_pct,pitcher_wins,pitcher_losses,pitcher_exp_er_5ip,pitcher_exp_h_5ip,pitcher_exp_bb_5ip,pitcher_exp_k_5ip,pitcher_days_rest,is_home,year,date,team_id,opp_avg_runs_allowed,opp_avg_first5_allowed,predicted_f5,edge_vs_opp,event_id,is_lhp,opp_batting_first5,platoon_score,opp_heat_14,pitcher_team_heat_14,heat_differential
5,33722,Mitch Keller,3.906,1.396,7.811,3.396,2.3,0.996,159.0,0.2009,0.0204,5.0,12.0,2.17,5.09,1.89,4.34,,0,2022,2022-04-09,24,5.49,4.49,2.77,1.72,401354275,0,4.0,4.0,5.0,2.0,3.0
0,41022,Justin Steele,3.176,1.353,9.529,3.782,2.52,1.075,119.0,0.2461,0.0156,4.0,7.0,1.76,4.66,2.1,5.29,,1,2022,2022-04-09,8,6.5,5.0,2.51,2.49,401354272,1,0.5,0.5,0.0,7.0,-7.0
7,37515,Brandon Woodruff,3.057,1.071,11.169,2.469,4.524,0.621,153.1,0.3065,0.029,13.0,4.0,1.7,3.98,1.37,6.21,,0,2022,2022-04-09,16,2.5,0.5,1.1,-0.6,401354272,0,4.986,4.986,7.0,0.0,7.0
3,32667,Kevin Gausman,3.358,1.24,10.591,1.447,7.321,0.67,174.2,0.2828,0.0207,12.0,10.0,1.87,5.4,0.8,5.88,,1,2022,2022-04-09,13,5.01,4.5,2.47,2.03,401354278,0,6.002,6.002,3.0,3.0,0.0
3,36080,Dane Dunning,4.468,1.437,8.054,3.645,2.21,1.12,153.1,0.2042,0.0298,4.0,8.0,2.48,5.16,2.02,4.47,,0,2022,2022-04-09,14,7.5,6.0,3.53,2.47,401354278,0,4.505,4.505,3.0,3.0,0.0
2,33263,Luis Severino,3.176,1.0,9.882,2.647,3.733,0.824,102.0,0.2765,0.0346,7.0,3.0,1.76,3.53,1.47,5.49,,1,2022,2022-04-09,2,4.01,2.0,1.62,0.38,401354265,0,1.996,1.996,2.0,2.0,0.0
2,36071,Nick Pivetta,4.57,1.384,8.789,3.666,2.397,0.625,179.2,0.2264,0.0349,10.0,12.0,2.54,4.88,2.04,4.88,,0,2022,2022-04-09,10,2.01,2.0,2.39,-0.39,401354265,0,1.996,1.996,2.0,2.0,0.0
1,33696,Carlos Rodon,2.882,1.028,11.983,2.629,4.558,0.544,178.0,0.3338,0.0169,14.0,8.0,1.6,3.68,1.46,6.66,,1,2022,2022-04-09,28,2.01,2.0,1.45,0.55,401354271,1,1.497,1.497,1.0,1.0,0.0
1,39671,Pablo Lopez,3.75,1.167,8.7,2.65,3.283,0.891,180.0,0.2364,0.0285,10.0,10.0,2.08,4.36,1.47,4.83,,0,2022,2022-04-09,26,2.01,1.5,1.78,-0.28,401354271,0,2.002,2.002,1.0,1.0,0.0
0,31053,Kyle Gibson,5.06,1.34,7.751,2.584,3.0,0.88,167.2,0.2006,0.0334,10.0,8.0,2.81,5.26,1.44,4.31,,1,2022,2022-04-09,11,2.51,1.01,2.36,-1.35,401354274,0,0.002,0.002,0.0,2.0,-2.0
