first_5_runs_allowed,pitcher_id,pitcher_name,pitcher_era,pitcher_whip,pitcher_k9,pitcher_bb9,pitcher_kbb,pitcher_gbfb,pitcher_ip,pitcher_k_pct,pitcher_exp_er_5ip,pitcher_exp_h_5ip,pitcher_exp_bb_5ip,pitcher_exp_k_5ip,pitcher_days_rest,is_home,year,date,opp_avg_runs_allowed,opp_avg_first5_allowed,predicted_f5,edge_vs_opp,is_lhp,game_key
7,33223,Julio Urias,2.16,0.96,8.537,2.109,4.049,0.668,175.0,0.2409,1.2,3.63,1.17,4.74,4,0,2022,2022-04-10,3.0,2.5,1.2,1.3,1,2022-04-10|Colorado Rockies|Los Angeles Dodgers
2,33180,Anthony DeSclafani,6.632,2.0,8.053,1.895,4.25,0.8,19.0,0.1809,3.68,8.95,1.05,4.47,4,1,2022,2022-04-10,2.01,2.0,3.54,-1.54,0,2022-04-10|San Francisco Giants|Miami Marlins
3,39640,Trevor Rogers,5.467,1.505,8.916,3.785,2.356,0.754,107.0,0.2222,3.04,5.42,2.1,4.95,4,0,2022,2022-04-10,2.01,1.5,2.74,-1.24,1,2022-04-10|San Francisco Giants|Miami Marlins
2,40981,Jose Suarez,3.963,1.248,8.505,2.725,3.121,0.704,109.0,0.2229,2.2,4.72,1.51,4.72,4,1,2022,2022-04-10,1.51,1.0,1.75,-0.75,1,2022-04-10|Los Angeles Angels|Houston Astros
1,35759,Jose Urquidy,3.949,1.17,7.349,2.084,3.526,0.579,164.1,0.1968,2.19,4.69,1.16,4.08,4,0,2022,2022-04-10,2.02,1.0,1.75,-0.75,0,2022-04-10|Los Angeles Angels|Houston Astros
4,31313,Patrick Corbin,5.2,1.483,6.2,2.85,2.175,0.828,180.0,0.157,2.89,5.83,1.58,3.44,4,1,2023,2023-03-30,3.98,3.98,3.33,0.65,1,2023-03-30|Washington Nationals|Atlanta Braves
2,32685,Max Fried,2.565,1.14,9.326,2.098,4.444,1.453,77.2,0.2572,1.42,4.53,1.17,5.18,4,0,2023,2023-03-30,1.05,1.03,0.98,0.05,1,2023-03-30|Washington Nationals|Atlanta Braves
0,32081,Gerrit Cole,2.627,0.981,9.56,2.067,4.625,0.676,209.0,0.2704,1.46,3.76,1.15,5.31,4,1,2023,2023-03-30,5.5,3.5,1.76,1.74,0,2023-03-30|New York Yankees|San Francisco Giants
3,41216,Logan Webb,3.25,1.074,8.083,1.292,6.258,1.68,216.0,0.2282,1.81,4.65,0.72,4.49,4,0,2023,2023-03-30,3.49,1.5,1.5,-0.0,0,2023-03-30|New York Yankees|San Francisco Giants
8,30981,Corey Kluber,7.036,1.636,6.873,3.436,2.0,0.439,55.0,0.1634,3.91,6.27,1.91,3.82,4,1,2023,2023-03-30,9.0,5.49,4.81,0.68,0,2023-03-30|Boston Red Sox|Baltimore Orioles
2,31053,Kyle Gibson,4.734,1.318,7.359,2.578,2.855,0.99,192.0,0.1945,2.63,5.16,1.43,4.09,4,0,2023,2023-03-30,6.51,5.5,3.53,1.98,0,2023-03-30|Boston Red Sox|Baltimore Orioles
0,32815,Marcus Stroman,3.965,1.263,7.863,3.436,2.288,1.345,136.2,0.207,2.2,4.41,1.91,4.37,4,1,2023,2023-03-30,4.98,2.0,2.05,-0.05,0,2023-03-30|Chicago Cubs|Milwaukee Brewers
4,39878,Corbin Burnes,3.401,1.071,9.317,3.075,3.03,0.789,193.2,0.2551,1.89,3.65,1.71,5.18,4,0,2023,2023-03-30,8.94,2.98,2.03,0.95,0,2023-03-30|Chicago Cubs|Milwaukee Brewers
0,41199,Shane McClanahan,3.287,1.183,9.47,3.209,2.951,0.806,115.0,0.258,1.83,4.13,1.78,5.26,4,1,2023,2023-03-30,8.49,5.49,2.72,2.77,1,2023-03-30|Tampa Bay Rays|Detroit Tigers
1,32675,Eduardo Rodriguez,3.311,1.156,8.456,2.838,2.979,0.743,152.2,0.2303,1.84,4.2,1.58,4.7,4,0,2023,2023-03-30,1.5,0.5,1.24,-0.74,1,2023-03-30|Tampa Bay Rays|Detroit Tigers
6,32796,Jacob deGrom,2.691,0.764,13.455,1.196,11.25,0.61,30.1,0.3913,1.5,3.16,0.66,7.48,4,1,2023,2023-03-30,2.09,2.05,1.36,0.69,0,2023-03-30|Texas Rangers|Philadelphia Phillies
11,33709,Aaron Nola,4.472,1.154,9.41,2.096,4.489,0.758,193.2,0.2547,2.48,4.61,1.16,5.23,4,0,2023,2023-03-30,1.03,1.03,2.04,-1.01,0,2023-03-30|Texas Rangers|Philadelphia Phillies
0,5883,Zack Greinke,5.067,1.274,6.144,1.457,4.217,0.777,142.1,0.1636,2.81,5.56,0.81,3.41,4,1,2023,2023-03-30,2.0,0.5,2.21,-1.71,0,2023-03-30|Kansas City Royals|Minnesota Twins
0,39671,Pablo Lopez,3.665,1.155,10.856,2.227,4.875,0.828,194.0,0.2921,2.04,4.54,1.24,6.03,4,0,2023,2023-03-30,4.5,1.5,1.74,-0.24,0,2023-03-30|Kansas City Royals|Minnesota Twins
1,35241,Sandy Alcantara,4.153,1.216,7.378,2.345,3.146,1.078,184.2,0.1982,2.31,4.78,1.3,4.1,4,1,2023,2023-03-30,1.5,1.5,2.01,-0.51,0,2023-03-30|Miami Marlins|New York Mets
0,28976,Max Scherzer,3.784,1.124,10.289,2.661,3.867,0.508,152.2,0.2802,2.1,4.14,1.48,5.72,4,0,2023,2023-03-30,5.49,3.99,2.55,1.44,0,2023-03-30|Miami Marlins|New York Mets
4,39635,Hunter Greene,4.821,1.42,12.214,3.857,3.167,0.559,112.0,0.3052,2.68,4.96,2.14,6.79,4,1,2023,2023-03-30,4.5,3.0,2.83,0.17,0,2023-03-30|Cincinnati Reds|Pittsburgh Pirates
4,33722,Mitch Keller,4.219,1.247,9.737,2.55,3.818,0.791,194.1,0.2545,2.34,4.82,1.42,5.41,4,0,2023,2023-03-30,1.51,1.5,2.05,-0.54,0,2023-03-30|Cincinnati Reds|Pittsburgh Pirates
5,32116,Miles Mikolas,4.789,1.318,6.131,1.745,3.513,0.64,201.1,0.1593,2.66,5.62,0.97,3.41,4,1,2023,2023-03-30,8.98,8.96,4.6,4.36,0,2023-03-30|St. Louis Cardinals|Toronto Blue Jays
5,42436,Alek Manoah,5.89,1.745,8.163,6.096,1.339,0.634,87.1,0.1904,3.27,5.34,3.39,4.54,4,0,2023,2023-03-30,4.01,3.0,3.42,-0.42,0,2023-03-30|St. Louis Cardinals|Toronto Blue Jays
0,36581,Framber Valdez,3.455,1.126,9.091,2.591,3.509,1.231,198.0,0.2475,1.92,4.19,1.44,5.05,4,1,2023,2023-03-30,3.02,0.01,1.17,-1.16,1,2023-03-30|Houston Astros|Chicago White Sox
0,34943,Dylan Cease,4.576,1.418,10.881,4.017,2.709,0.582,177.0,0.273,2.54,4.86,2.23,6.05,4,0,2023,2023-03-30,5.97,1.0,2.09,-1.09,0,2023-03-30|Houston Astros|Chicago White Sox
4,33748,Blake Snell,2.25,1.189,11.7,4.95,2.364,0.776,180.0,0.3154,1.25,3.19,2.75,6.5,4,1,2023,2023-03-31,5.48,3.99,1.7,2.29,1,2023-03-31|San Diego Padres|Colorado Rockies
2,34874,German Marquez,4.95,1.1,7.65,1.35,5.667,1.071,20.0,0.2125,2.75,4.75,0.75,4.25,4,0,2023,2023-03-31,2.51,0.51,2.15,-1.64,0,2023-03-31|San Diego Padres|Colorado Rockies
1,41041,Kyle Muller,7.597,1.961,6.545,4.558,1.436,0.768,77.0,0.1505,4.22,7.27,2.53,3.64,4,1,2023,2023-03-31,0.5,0.5,3.62,-3.12,1,2023-03-31|Oakland Athletics|Los Angeles Angels
0,39832,Shohei Ohtani,3.136,1.061,11.386,3.75,3.036,0.845,132.0,0.3145,1.74,3.22,2.08,6.33,4,0,2023,2023-03-31,9.48,8.48,3.54,4.94,0,2023-03-31|Oakland Athletics|Los Angeles Angels
2,33223,Julio Urias,4.611,1.161,8.992,1.845,4.875,0.601,117.1,0.2427,2.56,4.78,1.02,5.0,4,1,2023,2023-03-31,5.5,4.49,3.16,1.33,1,2023-03-31|Los Angeles Dodgers|Arizona Diamondbacks
5,39910,Zac Gallen,3.471,1.119,9.429,2.014,4.681,0.734,210.0,0.26,1.93,4.48,1.12,5.24,4,0,2023,2023-03-31,1.5,1.0,1.48,-0.48,0,2023-03-31|Los Angeles Dodgers|Arizona Diamondbacks
0,35124,Luis Castillo,3.335,1.096,10.005,2.558,3.911,0.652,197.0,0.2731,1.85,4.06,1.42,5.56,4,1,2023,2023-03-31,2.5,2.5,1.85,0.65,0,2023-03-31|Seattle Mariners|Cleveland Guardians
0,40912,Shane Bieber,3.797,1.234,7.523,2.391,3.147,0.906,128.0,0.2008,2.11,4.84,1.33,4.18,4,0,2023,2023-03-31,4.0,2.51,2.11,0.4,0,2023-03-31|Seattle Mariners|Cleveland Guardians
0,39667,Jesus Luzardo,3.586,1.218,10.505,2.778,3.782,0.698,178.2,0.2807,1.99,4.55,1.54,5.84,4,1,2023,2023-03-31,1.5,1.5,1.69,-0.19,1,2023-03-31|Miami Marlins|New York Mets
1,40921,David Peterson,5.027,1.568,10.378,4.054,2.56,1.232,111.0,0.2602,2.79,5.59,2.25,5.77,4,0,2023,2023-03-31,5.49,3.99,3.24,0.75,1,2023-03-31|Miami Marlins|New York Mets
1,41261,Cristian Javier,4.556,1.265,8.833,3.444,2.565,0.354,162.0,0.2314,2.53,4.41,1.91,4.91,4,1,2023,2023-04-01,3.02,0.01,1.78,-1.77,0,2023-04-01|Houston Astros|Chicago White Sox
0,30820,Lance Lynn,5.748,1.397,9.383,3.291,2.851,0.57,183.2,0.2364,3.19,5.16,1.83,5.21,4,0,2023,2023-04-01,5.97,1.0,2.74,-1.74,0,2023-04-01|Houston Astros|Chicago White Sox
